accept	except
ad	add
advice	advise
aid	aide
ail	ale
air	heir
aisle	I'll	isle
altar	alter
assent	ascent
ate	eight
bail	bail	bale
bald	bawled
band	banned
bare	bear
baron	barren
bases	basis
beat	beet
blew	blue
bolder	boulder
bread	bred
break	brake
buy	by	bye
carat	carrot
ceiling	sealing
cell	sell
cellar	seller
censor	sensor
cent	scent	sent
cereal	serial
chews	choose
chili	chilly
chord	cord
cite	site	sight
close	clothes
coarse	course
council	counsel
creak	creek
crews	cruise
dam	damn
days	daze
dear	deer
dew	do	due
die	dye
discreet	discrete
doe	dough
dual	duel
eave	eve
ewe	you
eye	I	aye
facts	fax
fair	fare
fairy	ferry
faze	phase
feat	feet
find	fined
fir	fur
flair	flare
flea	flee
flew	flu
flour	flower
for	fore	four
forth	fourth
frank	franc
gait	gate
gene	jean
gorilla	guerrilla
grease	Greece
groan	grown
hair	hare
hall	haul 
halve	have
hay	hey
heal	heel
hear	here
hi	high
hoarse	horse
hole	whole
holey	holy	wholly
hoarse	horse
hour	our
idle	idol
its	it's
knead	need
knew	new
knight	night
knot	not
know	no
lam	lamb
lead	led
leased	least
lessen	lesson
loan	lone
made	maid
mail	male
merry	Mary
meat	meet
mince	mints
morning	mourning
none	nun
oar	or	ore
oh	owe
one	won
overdo	overdue
pail	pale
pain	pane
peace	piece
peak	peek
patience	patients
pear	pair
plain	plane
pole	poll
pore	pour
pray	prey
principal	principle
profit	prophet
rain	rein
rap	wrap
read	red
real	reel
right	write
ring	wring
road	rode
role	roll
rose	rows
sail	sale
scene	seen
sea	see
seas	seize
seam	seem
sew	so
soar	sore
sole	soul
son	sun
some	sum
stair	stare
stationary	stationery
steal	steel
suite	sweet
tail	tale
their	there	they're
threw	through
to	too	two
toe	tow
wail	whale
waist	waste
wait	weight
war	wore
way	weigh
we	wee
weak	week
wear	where
weather	whether
which	witch
wood	would
your	you're
